Name,City,Address,Phone,Rating,Price,Photo Urls
Hawthorn Suites By Wyndham-Oakland/Alameda, Alameda,"1628 Webster St, Alameda, CA 94501, United States",(510) 522-1000,4.4,135,https://lh3.googleusercontent.com/p/AF1QipMjF3DCYeqxPGNlMlxSaww3of7lbvMdaUo0TUP9=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMqoCZaeKgCvH6Lb8I7yv4iNjS9wh2rAcQbqB9C=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMFVlEeKtZaIUtEt5OI_x6plhhTUEHIyUGf1hYc=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMRA-HusfU8pQvFSjXt-k_XXACOzJU-3F9kPMM2=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMuDsFlOJveDBHyKNFI5yfYFVQPl7MfiRR_Y4sv=s1600-w400
Extended Stay America - Oakland - Alameda, Alameda,"1350 Marina Village Pkwy, Alameda, CA 94501, United States",(510) 864-1333,3.5,129,https://lh3.googleusercontent.com/p/AF1QipNTbLCa7XG2KkN7PuVqUD1io70mZ1IaqG2mWOhC=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPrcr_bz8fBkjmkoltsG-OwRi8Es08d4tJCdv96=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOE9Boj-FQvZOkkOAroTOakXVF9Pzkix_BUtdF0=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipN748oeYtEtgC18TRMFNl4PdusRiifS1-z8O0Ef=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPvhW0etC6XPDJ2G9MEXZs8aDbZhNSdYtomuIH_=s1600-w400
Extended Stay America - Oakland - Alameda Airport, Alameda,"1260 S Loop Rd, Alameda, CA 94502, United States",(510) 769-7000,3.4,192,https://lh3.googleusercontent.com/p/AF1QipNJIzdeDxDSZ8VzYdtG7QqVrzD1wNqbWcZH3ReF=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOwsou0ojaW0n2ZlpLz9ZaoIF-6FPmQ_mkDPCeK=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOAKspO70mr5Uacn-usXQlsSy3mQ8mLvAPBfIMJ=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPiCBrYdjCQ_KX5OQ_cUBkBdxLu9hUP2Ig6eN5B=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipN_7fWfPW4BlE8X-mmpmcgg_OYcH_xeuARW6Apd=s1600-w400
Hampton Inn & Suites Oakland Airport - Alameda, Alameda,"1700 Harbor Bay Pkwy, Alameda, CA 94502, United States",(510) 521-4500,4,178,https://lh3.googleusercontent.com/p/AF1QipMOv6zU-1YINCV9J6g5G3FGJ47RuKMFVjSilyeP=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNUy4xo4jhHD0A62O30JKSZyK8M9HUMvwpt2mih=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMjsg-0ovP2P81jhAHqbcHcfU9gRkcH3yYLidaL=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPcQqA4wfVmhjABFBc1vr2DBHV_Hw-7MaUA9rTl=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipP4dH_ri_HZj6EmHX3r63INd_-MtCOURWljL_cP=s1600-w400
Rodeway Inn, Alameda,"1925 Webster St, Alameda, CA 94501, United States",(510) 521-8400,2.6,126,https://lh3.googleusercontent.com/p/AF1QipOwFEhvlFpPcCBopfUsUmyWp8kOFopLXntvm8Zm=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNFNLlOVssBim1UsY95EukX_gweUxTPM8j_APU0=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNmLiyVI3uzDWMr6Ztxb9ZT5dA8zLLdlGhBzpoW=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOSuX0nxj4p1GnqgWCjsqsPL7ovhRLUkh_Hd-7W=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipM6amqOmpP6iicPk_FXzXqRT53XwCcCslBpaibr=s1600-w400
Days Inn Alhambra CA, Alhambra,"15 N 1st St, Alhambra, CA 91801, United States",(626) 380-9797,3.8,186,https://lh3.googleusercontent.com/p/AF1QipPwykM7nKGthDNtLbioSUWFrKF4gfZtORql2Myr=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOjoXs91D5JBQZCTOh7EQc_-4CF4CD4S1-2XaEn=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPUTnJ7OE91-Qv30KM6otXNmhC1_7_Z_RPaiwCh=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNaPrAy9MBh-N96vjI97zSXqmkNMlnh2N6sCivQ=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipO3_-u5B1onJ5XprRadxpzYk-rBFb87PlO3CAPB=s1600-w400
Alhambra Inn, Alhambra,"2499 W Main St, Alhambra, CA 91801, United States",(626) 284-8498,3.6,134,https://lh3.googleusercontent.com/p/AF1QipPwdFTRd9nVvMtciMGKC913AJ-rrn5mCgOi_vBk=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPUSJNdqNPIvdrg0AIeXuUwfaXv16beW52f5SmG=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipM-QsHuSxn4dCCZhjXX1dspGtVCXy3C1dHQDksg=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOKTodz4vkGgXSzGLsMlC01gpnkl0EYl6BzLLQ6=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMJlbXMPnApkasD9jy8QGp0FjaM5wRKrnP_JfHr=s1600-w400
Super 8 Los Angeles/Alhambra, Los Angeles,"5350 Huntington Dr N, Los Angeles, CA 90032, United States",(323) 225-2310,3.8,131,https://lh3.googleusercontent.com/p/AF1QipOhRiqBuQLv0QKuPfA_-KNRAjdZ44klgosTupew=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNAkusWXGwVWPaBRCAfYyvDa0XcXSGJ5ZTNEk1C=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOvXHMX6GcjFCK73tj0ZGS9a4UWcrV9Zmxam2hZ=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMalMRlbNoCM-UYPvNBktPX3swpHM4WCACd29xk=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPY0B1uWDgARVrI2uO9HlrNCPP41rakA7ICmLOF=s1600-w400
Hilton Los Angeles/San Gabriel, San Gabriel,"225 W Valley Blvd, San Gabriel, CA 91776, United States",(626) 270-2700,4.3,168,https://lh3.googleusercontent.com/p/AF1QipOlmMPsMeeP_m4Xg5hu57j93tFmgETTKjrHveL1=s1600-w359 https://lh3.googleusercontent.com/p/AF1QipMRU-sL55ID9SNFc6HZqr_8EKa4jz7e8Wr7LNFU=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNhrxl3VzyZKn1v8IuZtXoSM-7RHb05MvlrNw3k=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMSwD3Bsj6L9ZYusGhW10uGFZQyroRD3WLg58Ag=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipO8ded2R8IN4yrQOecDP1gMt4TWvNICOqI5QbGm=s1600-w400
Comfort Inn, Monterey Park,"588 S Atlantic Blvd, Monterey Park, CA 91754, United States",(626) 308-9600,3.6,122,https://lh3.googleusercontent.com/p/AF1QipOzzyTcBwEIm2tCHIUaf3t7XZH7AUqgufyyv5bN=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMSPTMAFTmcA0BlZWul0uMQ723lJBRaCpBdD_e1=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPw73L0VMVWrGAPpLoQwD5K7l43Ak_F_RNYN0bG=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNeopJY7Ua1bERmammLJhhamNfWv5SxE1JkzrW5=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipO-95ggLhMwtO8Q-UMZhNsmPsT8e_-uSshGVCRh=s1600-w400
Renaissance ClubSport Aliso Viejo Laguna Beach Hotel, Aliso Viejo,"50 Enterprise, Aliso Viejo, CA 92656, United States",(949) 643-6700,4.5,181,https://lh3.googleusercontent.com/p/AF1QipM_weYqHP4Kr6EPP5ZszG-Gs3Gmh7f4y-DzSHKq=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNEz2dVxcwqHsLrT2Rhuurw60l7n97yWV86J1Vz=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOheWGvo37RDUqm3AgN2a_zlVB-CgZxcr7QAVjf=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMq2SXWfHbxph4_ovnVt0oe433OJcBVRVG_d7_-=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipO_khaQcHsJC45aO5f5HfoJzwP2_LXH33CyuQqr=s1600-w400
Homewood Suites by Hilton Aliso Viejo - Laguna Beach, Aliso Viejo,"110 Vantis Dr, Aliso Viejo, CA 92656, United States",(949) 425-9500,4.4,155,https://lh3.googleusercontent.com/p/AF1QipOmvICsY46RZ2ya5I-_WrY8cKROeO42MWY7Nn4=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMh_eqZprlg36xZ0DL3B1SzG5zNfWJYbK4tUww=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNY6vllvvQlVaszeKhduieHLg9SOCK4RZ5QrSt_=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMFp7Fpr9RqFPjeC6y1hIkBIJbX2Bf2KvcJAaQ=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPgmz5qGkD7ZV1ocEJ_XRjnxfeI3Tv1UyOnjhY=s1600-w400
Ayres Hotel Laguna Woods, Laguna Woods,"24341 El Toro Rd, Laguna Woods, CA 92637, United States",(949) 588-0131,4.5,156,https://lh3.googleusercontent.com/p/AF1QipMsEFocagkRYEipm3PHh1Y-GKo7zk0MQaskIbWU=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMA2WRrIZCWRkIr7Q5E4HJalojs1T0tfpQtOEsH=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOR6wznxn6Rnmr2qj4QbPpfYpe6UFeH84znxHrl=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMeSYponeHTPWnjn1mz7XsJtTZGtUstR1CorDBI=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNxEXSWtNrisST4qi451sUljEGH0j20IGAczphx=s1600-w400
Courtyard by Marriott Laguna Hills Irvine Spectrum/Orange County, Laguna Hills,"23175 Avenida De La Carlota, Laguna Hills, CA 92653, United States",(949) 859-5500,4.1,124,https://lh3.googleusercontent.com/p/AF1QipPqtzxmDLz_MwM2033KCpQICsXFFQoJ0jP3rqDy=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOW3h4R4weTSSrxYO0oeRMtXBc7uPM07u4Sp1rK=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOnj212ShVso63taPBKsRZd2eUQ3NIuEo_HxKd4=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOEw03Ty2GC85B7CdEOD4Cl-LkKQLFyRVVxbHB6=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNvl7j603sGf8DcIxCYz2HcGCP4N5b_d59EnF3Y=s1600-w400
Holiday Inn Irvine South/Irvine Spectrum, Lake Forest,"23131 Lake Center Dr, Lake Forest, CA 92630, United States",(949) 455-7000,4.3,183,https://lh3.googleusercontent.com/p/AF1QipNwshiwfLiNCuzakiUSJfnRLOm5xjE2BO7PH9N9=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNIlU45LQU3_4_nWA0eIOl_imuvzdAZeejbMPCS=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOPrRB1NgGSVj7RsFgnpW1xyJgrTCU6kgdeiuHB=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipN0AJKbes0GOemGtOp8Or5odxBHQ415WFOyM7yC=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMTt613JZ3S8bX2Qrd7X3s1ZkKYXx75qljCw_ef=s1600-w400
Ayres Lodge Alpine, Alpine,"1251 Tavern Rd, Alpine, CA 91901, United States",(619) 445-5800,4.4,107,https://lh3.googleusercontent.com/p/AF1QipO3SktBkaG2U_jhk70nbgXS5u-gKoKO989Jp60w=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNL0oLnzH9Dar1IInSaK6Khl80g1lI_JfXXu1jc=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMrYYT6hNFVJR48Q_Uf6Y8a576UITO8ctZ4vFvm=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPuLpToAuBTYqqJpB68pRqpXoTNEuLdiEH9acvP=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOmsQwi582m7DxdskFg_w_6NHNRuu7KixvVO58=s1600-w400
Viejas Casino & Resort, Alpine,"5000 Willows Rd, Alpine, CA 91901, United States",(619) 445-5400,4.3,166,https://lh3.googleusercontent.com/p/AF1QipPQ_LVZymHF9NxNX71er_fvdaY461dBavE5WQtA=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipME9geTUGJgjyS5TrzQUp7Rig98s4whdUgV2PjB=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOnAD54mlSHnrB1_E2uDspP3KXHynHsvBdjD_9w=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPKXZNdabcK9rOLtDMWfaLzUf6maRQiH8Iu0sDe=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPlFQAflPpYcGV7Vzh0uUx9FBj2GthJEJxT_cIS=s1600-w400
Alpine Apartments & Motel, Alpine,"2335 Alpine Blvd, Alpine, CA 91901, United States",(619) 445-4078,4.6,132,https://lh3.googleusercontent.com/p/AF1QipPrr679B03Z37VoahItQ-WmNwsg5b8TdcC6EHog=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNNUnEkCMehuiIcvQTjmxC1iNCQDdCqePnUaLG2=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMq915T1gB77UkTEsZvw6mAapHRwP-FAtoUhpsG=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNeceB4JLqwvPuDi56958RWpTlIYPNS2vtus8p3=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNVBKfEKrCEkO1sQgRuWPtgFum7uGPnep6Qq7U-=s1600-w400
White Oak Wild Nights, Alpine,"24402 Martin Way, Alpine, CA 91901, United States",(619) 445-0997,5,153,https://lh3.googleusercontent.com/p/AF1QipPrr679B03Z37VoahItQ-WmNwsg5b8TdcC6EHog=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNNUnEkCMehuiIcvQTjmxC1iNCQDdCqePnUaLG2=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMq915T1gB77UkTEsZvw6mAapHRwP-FAtoUhpsG=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNeceB4JLqwvPuDi56958RWpTlIYPNS2vtus8p3=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNVBKfEKrCEkO1sQgRuWPtgFum7uGPnep6Qq7U-=s1600-w400
Best Western Courtesy Inn, El Cajon,"1355 E Main St, El Cajon, CA 92021, United States",(619) 440-7378,3.6,156,https://lh3.googleusercontent.com/p/AF1QipME0CBor5SKnVC5BwHH0_9ci7a87FijuAImeapB=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOiQJs_I8WQnmcQyOAEkPygZ-aDBIfvK9kEQ0zn=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNPIR9WCk63vUJuPa09UKPLEJwIXkKUc4zAZ_G6=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNJMJlUXtnLqKi1Y5UuN3SNB4JSazawHa3Fa-Jt=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPH9NjQcTmIhjsPqyMzot3fqrP1nq0lHXlg9HS8=s1600-w400
Lincoln Motel, Pasadena,"1559 Lincoln Ave, Pasadena, CA 91103, United States",(626) 794-1355,2.6,163,https://lh3.googleusercontent.com/p/AF1QipMVMyIvSFvywzSN-9kXej8qFwlt6WdzVaqdDqnD=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNqJGt6aPlogNOge_XsIjknZOmpmuCcTLScLE9A=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPYyqPIaYd90shB9QocK30bZ9nehMVX91P3vjZ4=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNPZ3qL3Y7bwqlLOvt9O0gdlaOnG5BYDlLEeSMJ=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOko7xi9-R0g0VEjHB5Ii44IY0uSCB5CSUA4AtJ=s1600-w400
Howard Johnson Pasadena, Pasadena,"1599 East Colorado Blvd., Pasadena, CA 91106, United States",(626) 304-9678,3.9,102,https://lh3.googleusercontent.com/p/AF1QipOJ7BAN0JnDWXQbzooAJ3RZaUiAJCsKd_OqpBom=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMOpsQ092XmbArZJmW7cvU72Y0Rv0y3ErCwPaVY=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOOfWGxJ8_WlKmIfa8TlIM-PVy5OKFXXjQ_h56m=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMK9SqhLmybA6sylU9yPkqMOOVRf8K3WlWo436o=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipP_sty8OMwlWAuJ-Hqk7KNkSBGF3TSUSwwIZFRP=s1600-w400
Travelodge Pasadena Central, Pasadena,"2131 E Colorado Blvd, Pasadena, CA 91107, United States",(626) 796-3121,3.1,122,https://lh3.googleusercontent.com/p/AF1QipP7mw0dUr6mHm8HpG9zsf7oWYqUkBET7ytIX9r6=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOLUOblXj_oU5CgrQ7hZ_z1JR6ua1L8DiusfaHq=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPCmGKD4PSTuzkhVPEy6vMbpib7LFnzRIreqvVO=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMzN86dSKPCg3ubECFkGRJ7ylcZY0bEr4ccD5Wt=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNjfCCCoMjNz5QobMa6_3gcjjbxpU4QcP7krb52=s1600-w400
Rodeway Inn & Suites Pasadena, Pasadena,"2860 E Colorado Blvd, Pasadena, CA 91107, United States",(626) 792-3700,3.8,151,https://lh3.googleusercontent.com/p/AF1QipOhtVQTrMhGBzBHoWzpu9UpQq_J2sMCbhRQfg37=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOu0waW3WMjC6IkikdoqizC_Lv1ErU9uGafliAv=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPLhVej46BHUVomADSPRNmLOdTfZiLbmHBWSMim=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipObQvouNS3AXzZ1KjWv-jRQE4RlSrFPeGn1AcI=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipO7KSNBhK1jkqVlStWXZhabOYiVBSdzUudq57Ei=s1600-w400
Vagabond Inn Executive Pasadena, Pasadena,"1203 E Colorado Blvd, Pasadena, CA 91106, United States",(626) 449-3170,4,129,https://lh3.googleusercontent.com/p/AF1QipMcakLjRp_dcytRWN1YHTbLOcYpVNXVVP4BhYCH=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipML-n_uSb22fA9jehNmQrF9nMlFB1Z3hZHR6QEF=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNsPA6X9yrq6Ht27aH6lJJcgYnN0Mnl9TTEgNLM=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOD6m5qq1QJtk4s9B0jyvBiV0qXhfjxt3VggMWp=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMHV2RQ0hJ4p6FvvNUJ_YQT0wSJGFEwN-OSrni-=s1600-w400
